가계부, Catatan keuangan rumah tangga
가구점, Toko furnitur
가까이, Dekat
가꾸다, Menanam/merawat
가난, Kemiskinan
가늘다, Tipis/ramping
가능, Kemungkinan / potensi
가능성, Kemungkinan
가능하다, Bisa / memungkinkan
가득, Penuh
가라앉다, Tenggelam
가렵다, Gatal
가루비누, Sabun bubuk
가리다, Membedakan
가리키다, Menunjuk / menunjukkan
가만히, Diam-diam / tanpa bergerak
가뭄, Kekeringan
가사, Pekerjaan rumah tangga
가상, Virtual / maya
가스, Gas
가습기, Pelembap udara
가입, Pendaftaran / keanggotaan
가전제품, Alat elektronik rumah tangga
가정, Keluarga / rumah tangga
가족적, Bersifat kekeluargaan
가축, Ternak
가치, Nilai
각각, Masing-masing
각자, Tiap orang / masing-masing
각종, Berbagai jenis
간격, Jarak / interval
간절히, Dengan sungguh-sungguh
간접적, Secara tidak langsung
간판, Papan nama
간호, Keperawatan
갈다, Mengganti
갈등, Konflik
갈수록, Semakin lama semakin...
갈아입다, Ganti pakaian
감각, Indra / perasaan
감기다, Terbelit / melilit
감독, Sutradara / pengawas
감동적, Mengharukan
감상, Apresiasi / penghargaan seni
감소, Penurunan / pengurangan
감정, Emosi / perasaan
감탄, Kekaguman
강물, Air sungai
강변, Tepi sungai
강사, Pengajar / instruktur
강수량, Curah hujan
강연, Ceramah
강우량, Jumlah curah hujan
강의, Kuliah
강의실, Ruang kuliah
강조, Penekanan
강하다, Kuat
갖추다, melengkapi
갚다, Membayar kembali / membalas
개강, Awal perkuliahan
개구리, Katak
개구쟁이, Anak nakal
개다, Cerah (setelah hujan)
개막식, Upacara pembukaan
개발, Pengembangan
개방, Pembukaan / keterbukaan
개방적, Bersifat terbuka
개선, Perbaikan
개성, Kepribadian / ciri khas
개성적, Berkarakter / khas
개인적, Pribadi
개최, Penyelenggaraan (acara)
객관적, Objektif
객실, Kamar tamu / kamar hotel
갸름하다, Lonjong / ramping
걔, Orang itu / dia (informal)
갈등, Konflik
거래, Transaksi
거미, Laba-laba
거북이, Kura-kura
거스름돈, Uang kembalian
거절, Penolakan
거짓, Kebohongan
거치다, Melalui / melewati
거품, Buih / gelembung
걱정거리, Kekhawatiran
건강식, Makanan sehat
건강식품, Produk makanan sehat
건너, Sebrang / di seberang
건네다, Menyerahkan / memulai percakapan
건더기, Isi padat (dalam sup)
건망증, Pelupa / lupa ingatan
건설, Konstruksi / pembangunan
건전지, Baterai
건조, Kering
건축, Arsitektur
건축가, Arsitek
걸레, Kain lap
걸레질, Mengepel / mengelap
걸음, Langkah
검다, Hitam
검사, Pemeriksaan
검색, Pencarian
검색어, Kata pencarian
겁, Rasa takut
겉, Luar / permukaan
겉모습, Penampilan luar
게다가, Selain itu / ditambah lagi
게시판, Papan pengumuman
게으르다, Malas
게임기, Mesin permainan
겨우, Hampir saja / akhirnya
격려, Dorongan / penyemangat
겪다, Mengalami / melewati
견디다, Bertahan / menahan
결과적, Sebagai hasil
결국, Akhirnya
결론, Kesimpulan
결말, Akhir cerita
결석, Ketidakhadiran
결심, Tekad / keputusan hati
결코, Sama sekali tidak / tak pernah
결혼기념일, Hari peringatan pernikahan
결혼식장, Gedung pernikahan
겸손, Kerendahan hati
겹치다, Tumpang tindih
경고, Peringatan
경력, Pengalaman kerja / karier
경비, Keamanan / biaya jaga
경비원, Petugas keamanan / satpam
경영, Manajemen
경영자, Pengusaha / manajer / CEO
경영학, Ilmu manajemen bisnis
경우, Kasus / situasi
경쟁, Persaingan
경쟁력, Daya saing
경제, Ekonomi
경제력, Kekuatan ekonomi
경제적, Bersifat ekonomis / ekonomis
경제학, Ilmu ekonomi
계산, Perhitungan / akuntansi
계산대, Kasir
계산서, Nota / tagihan
계약, Kontrak
계약금, Uang muka
계약서, Surat kontrak
계좌, Rekening bank
계층, Lapisan sosial / hierarki
계획성, Sifat terencana
계획적, Terencana / sesuai rencana
고개, Kepala / bukit kecil
고객, Pelanggan / klien
고구마, Ubi jalar
고궁, Istana tradisional Korea
고급, Berkualitas tinggi / mewah
고래, Paus
고마움, Rasa terima kasih
고무신, Sepatu karet
고무줄, Karet gelang
고민, Kekhawatiran
고백, pernyataan (cinta)
고생, Kesulitan / penderitaan
고소하다, Memiliki rasa gurih / kacang
고속, Kecepatan tinggi
고속도로, Jalan tol
고아원, Panti asuhan
고유하다, Unik / khas
고지서, Surat tagihan / pemberitahuan pembayaran
고집, Kegigihan / keras kepala
고춧가루, Bubuk cabai
고층, Lantai atas
고통, Rasa sakit / penderitaan
곤란, Kesulitan / kerepotan
골고루, Merata / seimbang
골목길, Gang kecil
골치가 아프다, Membuat pusing / menyusahkan
곰, Beruang
곱슬머리, Rambut keriting alami
곳곳, Di mana-mana / berbagai tempat
공공요금, Biaya umum
공공장소, Tempat umum
공동, Bersama / gabungan
공동생활, Kehidupan bersama
공사, Konstruksi / pembangunan
공손하다, Sopan
공장, Pabrik
공주, Putri
공통, Kesamaan
공통점, Titik kesamaan
공포, Ketakutan
공해, Polusi
과로, Kelelahan akibat kerja berlebihan
